gameid,year,date,league,split,playoffs,game,position,playername,teamname,teamid,result
LOLTMNT02_22767,2024,2024-01-18,LCK,Spring,0,2,jng,Pyosik,KT Rolster,oe:team:d723992568441c6bafa2658129eade7,1
LOLTMNT02_22767,2024,2024-01-18,LCK,Spring,0,2,mid,Bdd,KT Rolster,oe:team:d723992568441c6bafa2658129eade7,1
LOLTMNT02_22767,2024,2024-01-18,LCK,Spring,0,2,bot,Deft,KT Rolster,oe:team:d723992568441c6bafa2658129eade7,1
LOLTMNT02_22767,2024,2024-01-18,LCK,Spring,0,2,sup,BeryL,KT Rolster,oe:team:d723992568441c6bafa2658129eade7,1
LOLTMNT02_23175,2024,2024-01-19,LCK,Spring,0,1,top,Doran,Hanwha Life Esports,oe:team:3a1d18f46bcb3716ebcfcf4ef068934,1
LOLTMNT02_23175,2024,2024-01-19,LCK,Spring,0,1,jng,Peanut,Hanwha Life Esports,oe:team:3a1d18f46bcb3716ebcfcf4ef068934,1
LOLTMNT02_23175,2024,2024-01-19,LCK,Spring,0,1,mid,Zeka,Hanwha Life Esports,oe:team:3a1d18f46bcb3716ebcfcf4ef068934,1
LOLTMNT02_23175,2024,2024-01-19,LCK,Spring,0,1,bot,Viper,Hanwha Life Esports,oe:team:3a1d18f46bcb3716ebcfcf4ef068934,1
LOLTMNT02_23175,2024,2024-01-19,LCK,Spring,0,1,sup,Delight,Hanwha Life Esports,oe:team:3a1d18f46bcb3716ebcfcf4ef068934,1
LOLTMNT02_23175,2024,2024-01-19,LCK,Spring,0,1,top,Rascal,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,0
LOLTMNT02_23175,2024,2024-01-19,LCK,Spring,0,1,jng,Sponge,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,0
LOLTMNT02_23175,2024,2024-01-19,LCK,Spring,0,1,mid,SeTab,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,0
LOLTMNT02_23175,2024,2024-01-19,LCK,Spring,0,1,bot,Teddy,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,0
LOLTMNT02_23175,2024,2024-01-19,LCK,Spring,0,1,sup,Pleata,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,0
LOLTMNT02_23223,2024,2024-01-19,LCK,Spring,0,2,top,Doran,Hanwha Life Esports,oe:team:3a1d18f46bcb3716ebcfcf4ef068934,1
LOLTMNT02_23223,2024,2024-01-19,LCK,Spring,0,2,jng,Peanut,Hanwha Life Esports,oe:team:3a1d18f46bcb3716ebcfcf4ef068934,1
LOLTMNT02_23223,2024,2024-01-19,LCK,Spring,0,2,mid,Zeka,Hanwha Life Esports,oe:team:3a1d18f46bcb3716ebcfcf4ef068934,1
LOLTMNT02_23223,2024,2024-01-19,LCK,Spring,0,2,bot,Viper,Hanwha Life Esports,oe:team:3a1d18f46bcb3716ebcfcf4ef068934,1
LOLTMNT02_23223,2024,2024-01-19,LCK,Spring,0,2,sup,Delight,Hanwha Life Esports,oe:team:3a1d18f46bcb3716ebcfcf4ef068934,1
LOLTMNT02_23223,2024,2024-01-19,LCK,Spring,0,2,top,Rascal,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,0
LOLTMNT02_23223,2024,2024-01-19,LCK,Spring,0,2,jng,Sponge,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,0
LOLTMNT02_23223,2024,2024-01-19,LCK,Spring,0,2,mid,SeTab,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,0
LOLTMNT02_23223,2024,2024-01-19,LCK,Spring,0,2,bot,Teddy,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,0
LOLTMNT02_23223,2024,2024-01-19,LCK,Spring,0,2,sup,Pleata,DRX,oe:team:101f8589e58c724c1dcd5a9c1555277,0
LOLTMNT02_24236,2024,2024-01-19,LCK,Spring,0,1,top,Zeus,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,1
LOLTMNT02_24236,2024,2024-01-19,LCK,Spring,0,1,jng,Oner,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,1
LOLTMNT02_24236,2024,2024-01-19,LCK,Spring,0,1,mid,Faker,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,1
LOLTMNT02_24236,2024,2024-01-19,LCK,Spring,0,1,bot,Gumayusi,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,1
LOLTMNT02_24236,2024,2024-01-19,LCK,Spring,0,1,sup,Keria,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,1
LOLTMNT02_24236,2024,2024-01-19,LCK,Spring,0,1,top,DuDu,DN SOOPers,oe:team:b3c72a20aa56f5d28022ac04a7dc294,0
LOLTMNT02_24236,2024,2024-01-19,LCK,Spring,0,1,jng,Cuzz,DN SOOPers,oe:team:b3c72a20aa56f5d28022ac04a7dc294,0
LOLTMNT02_24236,2024,2024-01-19,LCK,Spring,0,1,mid,BuLLDoG,DN SOOPers,oe:team:b3c72a20aa56f5d28022ac04a7dc294,0
LOLTMNT02_24236,2024,2024-01-19,LCK,Spring,0,1,bot,Taeyoon,DN SOOPers,oe:team:b3c72a20aa56f5d28022ac04a7dc294,0
LOLTMNT02_24236,2024,2024-01-19,LCK,Spring,0,1,sup,Andil,DN SOOPers,oe:team:b3c72a20aa56f5d28022ac04a7dc294,0
LOLTMNT02_24257,2024,2024-01-19,LCK,Spring,0,2,top,Zeus,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,1
LOLTMNT02_24257,2024,2024-01-19,LCK,Spring,0,2,jng,Oner,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,1
LOLTMNT02_24257,2024,2024-01-19,LCK,Spring,0,2,mid,Faker,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,1
LOLTMNT02_24257,2024,2024-01-19,LCK,Spring,0,2,bot,Gumayusi,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,1
LOLTMNT02_24257,2024,2024-01-19,LCK,Spring,0,2,sup,Keria,T1,oe:team:ce499dea30cfce118f4fe85da0227e8,1
LOLTMNT02_24257,2024,2024-01-19,LCK,Spring,0,2,top,DuDu,DN SOOPers,oe:team:b3c72a20aa56f5d28022ac04a7dc294,0
LOLTMNT02_24257,2024,2024-01-19,LCK,Spring,0,2,jng,Cuzz,DN SOOPers,oe:team:b3c72a20aa56f5d28022ac04a7dc294,0
LOLTMNT02_24257,2024,2024-01-19,LCK,Spring,0,2,mid,BuLLDoG,DN SOOPers,oe:team:b3c72a20aa56f5d28022ac04a7dc294,0
LOLTMNT02_24257,2024,2024-01-19,LCK,Spring,0,2,bot,Taeyoon,DN SOOPers,oe:team:b3c72a20aa56f5d28022ac04a7dc294,0
LOLTMNT02_24257,2024,2024-01-19,LCK,Spring,0,2,sup,Andil,DN SOOPers,oe:team:b3c72a20aa56f5d28022ac04a7dc294,0
LOLTMNT02_26035,2024,2024-01-20,LCK,Spring,0,1,top,Morgan,HANJIN BRION,oe:team:b77b3f6068e20a2b3edc0ecd3dc70d4,0
LOLTMNT02_26035,2024,2024-01-20,LCK,Spring,0,1,jng,GIDEON,HANJIN BRION,oe:team:b77b3f6068e20a2b3edc0ecd3dc70d4,0
LOLTMNT02_26035,2024,2024-01-20,LCK,Spring,0,1,mid,Karis,HANJIN BRION,oe:team:b77b3f6068e20a2b3edc0ecd3dc70d4,0
LOLTMNT02_26035,2024,2024-01-20,LCK,Spring,0,1,bot,Envyy,HANJIN BRION,oe:team:b77b3f6068e20a2b3edc0ecd3dc70d4,0
LOLTMNT02_26035,2024,2024-01-20,LCK,Spring,0,1,sup,Effort,HANJIN BRION,oe:team:b77b3f6068e20a2b3edc0ecd3dc70d4,0
LOLTMNT02_26035,2024,2024-01-20,LCK,Spring,0,1,top,Clear,BNK FEARX,oe:team:5c2e7e9ea8dfcba0150d9a5619baecf,1
LOLTMNT02_26035,2024,2024-01-20,LCK,Spring,0,1,jng,Willer,BNK FEARX,oe:team:5c2e7e9ea8dfcba0150d9a5619baecf,1
LOLTMNT02_26035,2024,2024-01-20,LCK,Spring,0,1,mid,Clozer,BNK FEARX,oe:team:5c2e7e9ea8dfcba0150d9a5619baecf,1
LOLTMNT02_26035,2024,2024-01-20,LCK,Spring,0,1,bot,Hena,BNK FEARX,oe:team:5c2e7e9ea8dfcba0150d9a5619baecf,1
LOLTMNT02_26035,2024,2024-01-20,LCK,Spring,0,1,sup,Execute,BNK FEARX,oe:team:5c2e7e9ea8dfcba0150d9a5619baecf,1
LOLTMNT02_26046,2024,2024-01-20,LCK,Spring,0,2,top,Clear,BNK FEARX,oe:team:5c2e7e9ea8dfcba0150d9a5619baecf,1
